id,name,slug,description,logo,website
1,+WATT,watt,Integratori sportivi di alta qualità,,
2,Vegetal +WATT,vegetal-watt,Linea vegana di integratori +WATT,,
3,Advance Care,advance-care,,,
6,Premier,premier,Premier - Integratori alimentari di alta qualità per sportivi e fitness,,
8,Volchem,mirabol,,,
9,Powerbar,powerbar,Nutrition sportiva di alta qualità per atleti,,
10,Jamieson,jamieson,Vitamine e integratori naturali dal Canada,,
11,WHY Sport,why-sport,Integratori italiani per lo sport,,
12,+Watt,plus-watt,Brand italiano leader negli integratori sportivi,,
18,Epithelium,epithelium,Brand specializzato in dispositivi medici e protezioni sportive per la prevenzione e il trattamento di lesioni,,
20,Advance Care +WATT,advance-care-watt,Linea premium Advance Care del brand +WATT per integratori di alta qualità,,
21,ProNutrition,pro-nutrition,Brand specializzato in integratori per la nutrizione sportiva,,
22,EthicSport,ethicsport,Brand di integratori sportivi di alta qualità,,
23,ProLabs,prolabs,Brand specializzato in integratori sportivi di alta qualità,,
25,Pronutrition,pronutrition,Brand specializzato in integratori alimentari per sportivi,,
